Time,Axial Accel (Gs),[Altitude (Baro-Ft-AGL)]
0,0.83,1.52344
0.00125,0.83,1.52344
0.0025,1.02646,1.52344
0.00375,1.02646,1.52344
0.005,1.02646,1.52344
0.00625,1.02646,1.52344
0.0075,1.12469,1.52344
0.00875,1.12469,1.52344
0.01,1.32115,1.52344
0.01125,1.32115,1.52344
0.0125,1.22292,1.52344
0.01375,1.22292,1.52344
0.015,1.41938,1.52344
0.01625,1.41938,1.52344
0.0175,1.32115,1.52344
0.01875,1.32115,1.52344
0.02,1.41938,1.52344
0.02125,1.41938,1.52344
0.0225,1.41938,1.52344
0.02375,1.41938,1.52344
0.025,1.32115,1.52344
0.02625,1.32115,1.52344
0.0275,1.32115,1.52344
0.02875,1.32115,1.52344
0.03,1.22292,1.52344
0.03125,1.22292,1.52344
0.0325,1.22292,1.52344
0.03375,1.22292,1.52344
0.035,1.22292,1.52344
0.03625,1.22292,1.52344
0.0375,1.12469,1.52344
0.03875,1.12469,1.52344
0.04,1.12469,1.52344
0.04125,1.12469,1.52344
0.0425,1.12469,1.52344
0.04375,1.12469,1.52344
0.045,1.02646,1.52344
0.04625,1.02646,1.52344
0.0475,1.02646,1.52344
0.04875,1.02646,1.52344
0.05,1.02646,1.52344
0.05,1.02646,1.52344
0.05,1.02646,1.52344
0.05125,1.02646,1.52344
0.0525,1.02646,1.52344
0.05375,1.02646,1.52344
0.055,1.02646,1.52344
0.05625,1.02646,1.52344
0.0575,0.92823,1.52344
0.05875,0.92823,1.52344
0.06,0.92823,1.52344
0.06125,0.92823,1.52344
0.0625,0.92823,1.52344
0.06375,0.92823,1.52344
0.065,0.92823,1.52344
0.06625,0.92823,1.52344
0.0675,0.92823,1.52344
0.06875,0.92823,1.52344
0.07,1.02646,1.52344
0.07125,1.02646,1.52344
0.0725,1.02646,1.52344
0.07375,1.02646,1.52344
0.075,1.02646,1.52344
0.07625,1.02646,1.52344
0.0775,1.02646,1.52344
0.07875,1.02646,1.52344
0.08,1.02646,1.52344
0.08125,1.02646,1.52344
0.0825,1.02646,1.52344
0.08375,1.02646,1.52344
0.085,1.02646,1.52344
0.08625,1.02646,1.52344
0.0875,1.02646,1.52344
0.08875,1.02646,1.52344
0.09,1.02646,1.52344
0.09125,1.02646,1.52344
0.0925,1.02646,1.52344
0.09375,1.02646,1.52344
0.095,0.92823,1.52344
0.09625,0.92823,1.52344
0.0975,0.92823,1.52344
0.09875,0.92823,1.52344
0.1,0.92823,1.52344
0.1,0.92823,1.52344
0.1,0.92823,1.52344
0.10125,0.92823,1.52344
0.1025,0.92823,1.52344
0.10375,0.92823,1.52344
0.105,0.92823,1.52344
0.10625,0.92823,1.52344
0.1075,0.92823,1.52344
0.10875,0.92823,1.52344
0.11,0.92823,1.52344
0.11125,0.92823,1.52344
0.1125,1.02646,1.52344
0.11375,1.02646,1.52344
0.115,1.12469,1.52344
0.11625,1.12469,1.52344
0.1175,1.02646,1.52344
0.11875,1.02646,1.52344
0.12,1.02646,1.52344
0.12125,1.02646,1.52344
0.1225,0.92823,1.52344
0.12375,0.92823,1.52344
0.125,0.92823,1.52344
0.12625,0.92823,1.52344
0.1275,0.92823,1.52344
0.12875,0.92823,1.52344
0.13,1.02646,1.52344
0.13125,1.02646,1.52344
0.1325,1.12469,1.52344
0.13375,1.12469,1.52344
0.135,1.12469,1.52344
0.13625,1.12469,1.52344
0.1375,1.12469,1.52344
0.13875,1.12469,1.52344
0.14,1.12469,1.52344
0.14125,1.12469,1.52344
0.1425,1.22292,1.52344
0.14375,1.22292,0.266113
0.145,1.22292,0.266113
0.14625,1.22292,0.266113
0.1475,1.41938,0.266113
0.14875,1.41938,0.266113
0.15,1.41938,0.266113
0.15,1.41938,0.266113
0.15,1.41938,0.266113
0.15125,1.41938,0.266113
0.1525,1.51761,0.266113
0.15375,1.51761,0.266113
0.155,1.8123,0.266113
0.15625,1.8123,0.266113
0.1575,2.40168,0.266113
0.15875,2.40168,0.266113
0.16,2.7946,0.266113
0.16125,2.7946,0.266113
0.1625,4.85743,0.266113
0.16375,4.85743,0.266113
0.165,4.85743,0.266113
0.16625,4.85743,0.266113
0.1675,5.64327,0.266113
0.16875,5.64327,0.266113
0.17,6.33088,0.266113
0.17125,6.33088,0.266113
0.1725,7.11672,0.266113
0.17375,7.11672,0.266113
0.175,8.09902,0.266113
0.17625,8.09902,0.266113
0.1775,8.78663,0.266113
0.17875,8.78663,0.266113
0.18,9.47424,0.266113
0.18125,9.47424,0.266113
0.1825,9.57247,0.266113
0.18375,9.57247,0.266113
0.185,10.0636,0.266113
0.18625,10.0636,0.266113
0.1875,10.2601,0.266113
