time,x_acc,alt (m)
0,1.29646,0.406095703
0.00125,1.29646,0.406095703
0.0025,1.29646,0.406095703
0.00375,1.29646,0.406095703
0.005,1.19823,0.406095703
0.00625,1.19823,0.406095703
0.0075,1.29646,0.406095703
0.00875,1.29646,0.406095703
0.01,1.29646,0.406095703
0.01125,1.29646,0.406095703
0.0125,1.29646,0.406095703
0.01375,1.29646,0.406095703
0.015,1.29646,0.406095703
0.01625,1.29646,0.406095703
0.0175,1.19823,0.406095703
0.01875,1.19823,0.406095703
0.02,1.19823,0.406095703
0.02125,1.19823,0.406095703
0.0225,1.19823,0.406095703
0.02375,1.19823,0.406095703
0.025,1.19823,0.406095703
0.02625,1.19823,0.406095703
0.0275,1.19823,0.406095703
0.02875,1.19823,0.406095703
0.03,1.19823,0.406095703
0.03125,1.19823,0.406095703
0.0325,1.29646,0.406095703
0.03375,1.29646,0.406095703
0.035,1.29646,0.406095703
0.03625,1.29646,0.406095703
0.0375,1.29646,0.406095703
0.03875,1.29646,0.406095703
0.04,1.19823,0.406095703
0.04125,1.19823,0.406095703
0.0425,1.19823,0.406095703
0.04375,1.19823,0.406095703
0.045,1.19823,0.406095703
0.04625,1.19823,0.406095703
0.0475,1.19823,0.406095703
0.04875,1.19823,0.406095703
0.05,1.19823,0.406095703
0.05,1.19823,0.406095703
0.05,1.19823,0.406095703
0.05125,1.19823,0.406095703
0.0525,1.29646,0.406095703
0.05375,1.29646,0.406095703
0.055,1.19823,0.406095703
0.05625,1.19823,0.406095703
0.0575,1.19823,0.406095703
0.05875,1.19823,0.406095703
0.06,1.19823,0.406095703
0.06125,1.19823,0.406095703
0.0625,1.19823,0.406095703
0.06375,1.19823,0.406095703
0.065,1.19823,0.406095703
0.06625,1.19823,0.406095703
0.0675,1.19823,0.406095703
0.06875,1.19823,0.406095703
0.07,1.19823,0.406095703
0.07125,1.19823,0.406095703
0.0725,1.19823,0.406095703
0.07375,1.19823,0.406095703
0.075,1.19823,0.406095703
0.07625,1.19823,0.406095703
0.0775,1.1,0.406095703
0.07875,1.1,0.406095703
0.08,1.1,0.406095703
0.08125,1.1,0.406095703
0.0825,1.1,0.406095703
0.08375,1.1,0.406095703
0.085,1.1,0.406095703
0.08625,1.1,0.406095703
0.0875,1.1,0.406095703
0.08875,1.1,0.406095703
0.09,1.1,0.406095703
0.09125,1.1,0.406095703
0.0925,1.1,0.406095703
0.09375,1.1,0.406095703
0.095,1.19823,0.406095703
0.09625,1.19823,0.406095703
0.0975,1.19823,0.406095703
0.09875,1.19823,0.406095703
0.1,1.29646,0.406095703
0.1,1.29646,0.406095703
0.1,1.29646,0.406095703
0.10125,1.29646,0.406095703
0.1025,1.29646,0.406095703
0.10375,1.29646,0.406095703
0.105,1.29646,0.406095703
0.10625,1.29646,0.406095703
0.1075,1.29646,0.406095703
0.10875,1.29646,0.406095703
0.11,1.39469,0.406095703
0.11125,1.39469,0.406095703
0.1125,1.29646,0.406095703
0.11375,1.29646,0.406095703
0.115,1.29646,0.406095703
0.11625,1.29646,0.406095703
0.1175,1.29646,0.406095703
0.11875,1.29646,0.406095703
0.12,1.29646,0.406095703
0.12125,1.29646,0.406095703
0.1225,1.29646,0.406095703
0.12375,1.29646,0.406095703
0.125,1.29646,0.406095703
0.12625,1.29646,0.406095703
0.1275,1.29646,0.406095703
0.12875,1.29646,0.406095703
0.13,1.29646,0.406095703
0.13125,1.29646,0.406095703
0.1325,1.19823,0.406095703
0.13375,1.19823,0.406095703
0.135,1.29646,0.406095703
0.13625,1.29646,0.406095703
0.1375,1.29646,0.406095703
0.13875,1.29646,0.406095703
0.14,1.29646,0.406095703
0.14125,1.29646,0.406095703
0.1425,1.29646,0.406095703
0.14375,1.29646,0.406095703
0.145,1.29646,0.406095703
0.14625,1.29646,0.406095703
0.1475,1.19823,0.406095703
0.14875,1.19823,0.406095703
0.15,1.19823,0.406095703
0.15,1.19823,0.406095703
0.15,1.19823,0.406095703
0.15125,1.19823,0.406095703
0.1525,1.19823,0.406095703
0.15375,1.19823,0.406095703
0.155,1.29646,0.406095703
0.15625,1.29646,0.406095703
0.1575,1.29646,0.406095703
0.15875,1.29646,0.406095703
0.16,1.29646,0.406095703
0.16125,1.29646,0.406095703
0.1625,1.29646,0.406095703
0.16375,1.29646,0.406095703
0.165,1.29646,0.406095703
0.16625,1.29646,0.406095703
0.1675,1.19823,0.406095703
0.16875,1.19823,0.406095703
0.17,1.19823,0.406095703
0.17125,1.19823,0.406095703
0.1725,1.19823,0.406095703
0.17375,1.19823,0.406095703
0.175,1.29646,0.406095703
0.17625,1.29646,0.406095703
0.1775,1.29646,0.406095703
0.17875,1.29646,0.406095703
0.18,1.29646,0.406095703
0.18125,1.29646,0.406095703
0.1825,2.37699,0.406095703
0.18375,2.37699,0.406095703
0.185,3.45752,0.406095703
0.18625,3.45752,0.406095703
0.1875,7.48495,0.406095703
0.18875,7.48495,0.406095703
0.19,10.5301,0.406095703
